n;rent;s;floor;rooms;walls;district
1;11000;36;6;1;0;2
2;11000;33;1;1;0;3
3;12000;44;3;2;0;2
4;12000;64;9;2;0;2
5;10000;20;3;1;1;1
6;8000;19;5;1;1;2
7;16000;50;5;2;1;4
8;12000;44;3;1;1;4
9;13000;43;5;2;0;3
10;13000;40;2;1;1;4
11;18000;70;9;3;0;4
12;16000;54;12;2;0;1
13;15000;60;5;3;1;2
14;8000;16;2;1;1;2
15;18000;45;5;1;1;1
16;20000;65;8;2;1;4
17;6000;14;3;1;1;4
18;15000;44;5;1;0;1
19;15000;50;3;2;1;4
20;9000;20;2;1;1;2
21;12000;54;3;3;1;3
22;20000;54;7;2;1;1
23;10000;21;2;1;1;4
24;12000;40;1;1;1;2
25;17500;45;3;1;1;4
26;19000;70;9;3;0;1
27;16000;43;7;1;1;1
28;14000;35;5;1;1;4
29;8500;28;7;1;1;2
30;8000;19;2;1;1;3
31;8500;18;3;1;1;3
32;8000;17;1;1;0;2
33;10000;19;3;1;1;4
34;14000;38;8;1;1;4
35;11000;32;5;1;1;1
36;12000;44;6;1;1;2
37;8500;30;5;1;1;1
38;14000;44;3;2;1;2
39;9000;36.5;9;1;1;3
40;7500;11;1;1;0;4
41;6000;12;3;1;1;4
42;12000;45;7;1;1;2
43;12000;29;4;1;1;3
44;9500;16;4;1;1;1
45;7000;19;1;1;1;4
46;14000;44;4;2;0;3
47;11000;31;2;1;0;2
48;19000;54;1;2;1;1
49;13000;54;3;2;1;2
50;11000;39;3;1;0;2
51;12000;40;2;2;0;3
52;16000;30;1;1;1;1
53;12000;31;1;1;1;3
54;7000;12;4;1;1;4
55;6000;12;1;1;0;1
56;11000;36;7;1;0;4
57;7500;19;3;1;1;3
58;10000;18.5;1;1;1;2
59;11000;57.1;1;3;0;2
60;12000;34;3;1;1;1
61;20000;69;2;2;1;4
62;12000;43;7;1;0;3
63;10000;35;5;1;1;4
64;11000;22;7;1;1;1
65;7000;15;1;1;0;4
66;7000;36;1;1;1;3
67;13000;40;7;2;0;3
68;12000;34;6;1;1;4
69;13000;39;12;1;0;1
70;14000;60;6;2;0;4
71;16000;60;8;2;1;4
72;17000;42;2;3;1;1
73;9000;19;3;1;1;2
74;20000;70;10;3;0;4
75;13000;44;7;2;0;3
76;12000;40;5;1;1;2
77;19000;50;4;1;1;1
78;10000;30;2;1;0;2
79;14000;33;4;1;1;1
80;11000;30;3;1;0;2
81;9000;19;4;1;1;4
82;13000;44;8;1;1;4
83;14000;24;1;1;1;1
84;10000;24;5;1;0;3
85;15000;48;8;1;1;4
86;12000;50;3;1;1;2
87;16000;65;7;2;1;1
88;8000;16;5;1;1;1
89;6500;26;2;1;0;3
90;8000;19;3;1;1;2
91;7000;12;3;1;1;3
92;10000;30;3;1;0;2
93;18000;50;3;2;1;1
94;8000;18;3;1;1;2
95;7000;13;3;1;1;2
96;20000;55;1;2;1;4
97;12000;30;4;1;1;4
98;7500;14;1;1;1;1
99;6500;21;2;1;1;2
100;20000;64;3;3;0;2
101;14000;40;12;1;0;1
102;9000;24;1;1;1;4
103;13000;44;4;1;0;2
104;13000;48;5;2;1;2
105;15000;65;4;2;1;4
106;11000;36;2;1;0;4
107;13000;40;4;2;0;3
108;13000;43;5;2;1;4
109;13000;33;2;1;0;3
110;15000;54;1;2;0;3
111;10000;35;4;1;1;4
112;13000;40;12;1;0;3
113;13000;68;4;2;0;2
114;11000;33;4;1;0;1
115;7500;15;1;1;0;3
116;10000;30;8;1;1;2
117;13000;60;4;2;0;2
118;13000;38;2;2;0;3
119;8000;16;1;1;1;2
120;20000;66;6;3;0;3
121;6000;20;2;1;1;1
122;20000;50;4;2;1;1
123;10000;30;2;1;1;3
124;9000;30;8;1;1;1
125;10500;31;3;1;1;1
126;10000;36;4;1;1;3
127;7000;30;1;2;1;3
128;7500;20;3;1;1;2
129;8000;17;3;1;1;2
130;11000;30;8;1;1;2
